StudentID,CompanyRoleID,PlacementStatus,PlacementDate
3148,234,Placed,2026-07-04
3149,242,Placed,2026-07-04
3150,244,Placed,2026-07-04
3151,234,Placed,2026-07-04
3153,249,Placed,2026-07-04
3156,267,Placed,2026-07-04
3159,218,Placed,2026-07-04
3160,234,Placed,2026-07-04
3164,244,Placed,2026-07-04
3166,234,Placed,2026-07-04
3172,242,Placed,2026-07-04
3173,77,Placed,2026-07-04
3175,139,Placed,2026-07-04
3176,59,Placed,2026-07-04
3178,168,Placed,2026-07-04
3179,62,Placed,2026-07-04
3182,160,Placed,2026-07-04
3183,141,Placed,2026-07-04
3184,61,Placed,2026-07-04
3185,77,Placed,2026-07-04
3187,61,Placed,2026-07-04
3188,159,Placed,2026-07-04
3189,139,Placed,2026-07-04
3191,139,Placed,2026-07-04
3192,81,Placed,2026-07-04
3193,155,Placed,2026-07-04
3194,78,Placed,2026-07-04
3195,77,Placed,2026-07-04
3196,158,Placed,2026-07-04
3197,143,Placed,2026-07-04
3199,148,Placed,2026-07-04
3201,55,Placed,2026-07-04
3202,60,Placed,2026-07-04
3204,83,Placed,2026-07-04
3206,161,Placed,2026-07-04
3208,57,Placed,2026-07-04
3209,65,Placed,2026-07-04
3211,154,Placed,2026-07-04
3213,83,Placed,2026-07-04
3214,194,Placed,2026-07-04
3215,62,Placed,2026-07-04
3218,59,Placed,2026-07-04
3219,83,Placed,2026-07-04
3222,59,Placed,2026-07-04
3223,77,Placed,2026-07-04
3224,163,Placed,2026-07-04
3227,83,Placed,2026-07-04
3229,61,Placed,2026-07-04
3233,64,Placed,2026-07-04
3235,192,Placed,2026-07-04
3236,62,Placed,2026-07-04
3237,162,Placed,2026-07-04
3239,161,Placed,2026-07-04
3240,141,Placed,2026-07-04
3241,61,Placed,2026-07-04
3244,197,Placed,2026-07-04
3245,61,Placed,2026-07-04
3246,157,Placed,2026-07-04
3248,63,Placed,2026-07-04
3249,68,Placed,2026-07-04
3251,182,Placed,2026-07-04
3252,56,Placed,2026-07-04
3253,83,Placed,2026-07-04
3254,183,Placed,2026-07-04
3255,68,Placed,2026-07-04
3256,83,Placed,2026-07-04
3259,117,Placed,2026-07-04
3261,161,Placed,2026-07-04
3263,143,Placed,2026-07-04
3264,156,Placed,2026-07-04
3266,84,Placed,2026-07-04
3269,75,Placed,2026-07-04
3271,151,Placed,2026-07-04
3273,153,Placed,2026-07-04
3276,77,Placed,2026-07-04
3279,78,Placed,2026-07-04
3281,77,Placed,2026-07-04
3282,129,Placed,2026-07-04
3283,78,Placed,2026-07-04
3288,59,Placed,2026-07-04
3290,117,Placed,2026-07-04
3293,133,Placed,2026-07-04
3294,138,Placed,2026-07-04
3296,144,Placed,2026-07-04
3297,84,Placed,2026-07-04
3298,59,Placed,2026-07-04
3299,194,Placed,2026-07-04
3301,153,Placed,2026-07-04
3302,141,Placed,2026-07-04
3304,84,Placed,2026-07-04
3311,138,Placed,2026-07-04
3313,141,Placed,2026-07-04
3314,61,Placed,2026-07-04
3315,183,Placed,2026-07-04
3318,115,Placed,2026-07-04
3319,61,Placed,2026-07-04
3320,162,Placed,2026-07-04
3323,198,Placed,2026-07-04
3324,157,Placed,2026-07-04
3325,59,Placed,2026-07-04
3328,77,Placed,2026-07-04
3329,182,Placed,2026-07-04
3330,68,Placed,2026-07-04
3331,168,Placed,2026-07-04
3334,62,Placed,2026-07-04
3335,153,Placed,2026-07-04
3336,62,Placed,2026-07-04
3337,77,Placed,2026-07-04
3338,57,Placed,2026-07-04
3342,160,Placed,2026-07-04
3346,193,Placed,2026-07-04
3347,122,Placed,2026-07-04
3350,83,Placed,2026-07-04
3352,99,Placed,2026-07-04
3353,62,Placed,2026-07-04
3354,143,Placed,2026-07-04
3355,124,Placed,2026-07-04
3356,139,Placed,2026-07-04
3358,70,Placed,2026-07-04
3359,59,Placed,2026-07-04
3360,59,Placed,2026-07-04
3361,61,Placed,2026-07-04
3364,72,Placed,2026-07-04
3365,97,Placed,2026-07-04
3367,64,Placed,2026-07-04
3368,72,Placed,2026-07-04
3369,80,Placed,2026-07-04
3371,108,Placed,2026-07-04
3372,105,Placed,2026-07-04
3375,107,Placed,2026-07-04
3376,104,Placed,2026-07-04
3377,97,Placed,2026-07-04
3378,104,Placed,2026-07-04
3380,79,Placed,2026-07-04
3382,80,Placed,2026-07-04
3383,182,Placed,2026-07-04
3384,55,Placed,2026-07-04
3388,104,Placed,2026-07-04
3389,105,Placed,2026-07-04
3390,94,Placed,2026-07-04
3392,261,Placed,2026-07-04
3394,93,Placed,2026-07-04
3395,73,Placed,2026-07-04
3397,80,Placed,2026-07-04
3398,163,Placed,2026-07-04
3399,210,Placed,2026-07-04
3404,102,Placed,2026-07-04
3406,98,Placed,2026-07-04
3407,116,Placed,2026-07-04
3410,72,Placed,2026-07-04
3411,80,Placed,2026-07-04
3414,97,Placed,2026-07-04
3416,182,Placed,2026-07-04
3417,80,Placed,2026-07-04
3418,97,Placed,2026-07-04
3421,70,Placed,2026-07-04
3422,80,Placed,2026-07-04
3423,71,Placed,2026-07-04
3428,81,Placed,2026-07-04
3429,80,Placed,2026-07-04
3430,261,Placed,2026-07-04
3432,105,Placed,2026-07-04
3434,116,Placed,2026-07-04
3435,79,Placed,2026-07-04
3436,79,Placed,2026-07-04
3440,72,Placed,2026-07-04
3442,265,Placed,2026-07-04
3445,87,Placed,2026-07-04
3446,91,Placed,2026-07-04
3451,79,Placed,2026-07-04
3454,82,Placed,2026-07-04
3455,89,Placed,2026-07-04
3456,64,Placed,2026-07-04
3459,107,Placed,2026-07-04
3460,81,Placed,2026-07-04
3461,116,Placed,2026-07-04
3462,74,Placed,2026-07-04
3464,64,Placed,2026-07-04
3469,86,Placed,2026-07-04
3470,108,Placed,2026-07-04
3476,121,Placed,2026-07-04
3477,80,Placed,2026-07-04
3479,79,Placed,2026-07-04
3481,90,Placed,2026-07-04
3483,87,Placed,2026-07-04
3484,96,Placed,2026-07-04
3496,261,Placed,2026-07-04
3499,108,Placed,2026-07-04
3502,202,Placed,2026-07-04
3503,88,Placed,2026-07-04
3504,85,Placed,2026-07-04
3508,233,Placed,2026-07-04
3510,233,Placed,2026-07-04
3511,95,Placed,2026-07-04
3513,85,Placed,2026-07-04
3514,95,Placed,2026-07-04
3516,108,Placed,2026-07-04
3517,85,Placed,2026-07-04
3518,106,Placed,2026-07-04
3519,209,Placed,2026-07-04
3520,209,Placed,2026-07-04
3521,261,Placed,2026-07-04
3522,85,Placed,2026-07-04
3524,204,Placed,2026-07-04
3526,103,Placed,2026-07-04
3527,96,Placed,2026-07-04
3534,86,Placed,2026-07-04
3535,89,Placed,2026-07-04
3537,233,Placed,2026-07-04
3539,103,Placed,2026-07-04
3540,82,Placed,2026-07-04
3548,261,Placed,2026-07-04
3553,238,Placed,2026-07-04
3554,85,Placed,2026-07-04
3555,238,Placed,2026-07-04
3558,233,Placed,2026-07-04
3562,101,Placed,2026-07-04
3565,71,Placed,2026-07-04
3567,228,Placed,2026-07-04
3569,209,Placed,2026-07-04
3570,86,Placed,2026-07-04
3571,206,Placed,2026-07-04
3572,95,Placed,2026-07-04
3581,89,Placed,2026-07-04
3589,229,Placed,2026-07-04
3591,225,Placed,2026-07-04
3592,220,Placed,2026-07-04
3593,268,Placed,2026-07-04
3596,221,Placed,2026-07-04
3599,264,Placed,2026-07-04
3601,254,Placed,2026-07-04
3602,207,Placed,2026-07-04
3604,217,Placed,2026-07-04
3607,264,Placed,2026-07-04
3608,264,Placed,2026-07-04
3609,238,Placed,2026-07-04
3612,209,Placed,2026-07-04
3613,221,Placed,2026-07-04
3618,204,Placed,2026-07-04
3621,238,Placed,2026-07-04
3623,212,Placed,2026-07-04
3624,256,Placed,2026-07-04
3625,204,Placed,2026-07-04
3626,233,Placed,2026-07-04
3627,238,Placed,2026-07-04
3629,204,Placed,2026-07-04
3632,215,Placed,2026-07-04
3634,205,Placed,2026-07-04
3635,233,Placed,2026-07-04
3636,247,Placed,2026-07-04
3640,264,Placed,2026-07-04
3642,209,Placed,2026-07-04
3645,259,Placed,2026-07-04
3646,217,Placed,2026-07-04
3647,232,Placed,2026-07-04
3650,207,Placed,2026-07-04
3651,238,Placed,2026-07-04
3653,233,Placed,2026-07-04
3655,212,Placed,2026-07-04
3658,232,Placed,2026-07-04
3660,252,Placed,2026-07-04
3661,225,Placed,2026-07-04
3662,259,Placed,2026-07-04
3664,240,Placed,2026-07-04
3666,238,Placed,2026-07-04
3673,225,Placed,2026-07-04
3674,256,Placed,2026-07-04
3679,221,Placed,2026-07-04
3681,238,Placed,2026-07-04
3682,229,Placed,2026-07-04
3690,230,Placed,2026-07-04
3691,233,Placed,2026-07-04
3697,238,Placed,2026-07-04
3699,233,Placed,2026-07-04
3702,230,Placed,2026-07-04
3703,232,Placed,2026-07-04
3706,229,Placed,2026-07-04
3707,255,Placed,2026-07-04
3710,232,Placed,2026-07-04
3713,264,Placed,2026-07-04
3714,226,Placed,2026-07-04
3717,223,Placed,2026-07-04
3719,223,Placed,2026-07-04
3725,219,Placed,2026-07-04
3727,223,Placed,2026-07-04
3730,259,Placed,2026-07-04
3735,229,Placed,2026-07-04
3737,225,Placed,2026-07-04
3738,223,Placed,2026-07-04
3739,217,Placed,2026-07-04
3745,221,Placed,2026-07-04
3747,259,Placed,2026-07-04
3750,255,Placed,2026-07-04
